Govregion,County,District,PrivateBEV,PrivatePHEV,PrivateHEV,PrivateTotalEV,PrivateTotalCar,CompanyBEV,CompanyPHEV,CompanyHEV,CompanyTotalEV,CompanyTotalCar,TotalCars,PBEV1k,PPHEV1k,PHEV1k,PPEV1k,CBEV1k,CPHEV1k,CHEV1k,CPEV1k,TBEV1k,TPHEV1k,THEV1k,TPEV1k,TCC1k
South East,Oxfordshire,South Oxfordshire,106,53,633,792,80528,21,19,84,124,2508,83036,1.316312339,0.658156169,7.860619909,1.974468508,8.373205742,7.575757576,33.49282297,15.94896332,1.529457103,0.867093791,8.634808999,2.396550894,30.20376704
North West,Lancashire,South Ribble,57,12,315,384,56020,9,15,26,50,2404,58424,1.017493752,0.214209211,5.622991789,1.231702963,3.743760399,6.239600666,10.81530782,9.983361065,1.129672737,0.462138847,5.836642476,1.591811584,41.14747364
South West,Somerset,South Somerset,67,44,386,497,93175,28,19,30,77,3608,96783,0.719077006,0.472229675,4.142742152,1.191306681,7.760532151,5.266075388,8.314855876,13.02660754,0.981577343,0.650940764,4.298275524,1.632518108,37.27927425
West Midlands,Staffordshire,South Staffordshire,47,25,335,407,59790,5,12,9,26,2156,61946,0.78608463,0.418130122,5.602943636,1.204214752,2.319109462,5.565862709,4.174397032,7.884972171,0.839440803,0.597294418,5.553223776,1.436735221,34.80450715
North East,Tyne and Wear Metropolitan Area,South Tyneside,75,26,206,307,54346,20,79,17,116,3037,57383,1.38004637,0.478416075,3.790527362,1.858462444,6.585446164,26.01251235,5.597629239,32.59795851,1.655542582,1.829810223,3.886168377,3.485352805,52.92508234
South East,Southampton UA,Southampton UA,34,24,594,652,91583,12,11,75,98,3871,95454,0.371247939,0.262057369,6.485919876,0.633305308,3.099974167,2.841642986,19.37483854,5.941617153,0.481907516,0.366668762,7.008611478,0.848576278,40.55356507
East of England,Southend-on-Sea UA,Southend-on-Sea UA,61,26,460,547,76729,10,12,19,41,2820,79549,0.7950058,0.338854931,5.995125702,1.133860731,3.546099291,4.255319149,6.737588652,7.80141844,0.892531647,0.477692994,6.021445901,1.370224641,35.44984852
London,Greater London,Southwark,83,61,1046,1190,54354,50,28,147,225,3514,57868,1.52702653,1.12227251,19.24421386,2.64929904,14.22879909,7.96812749,41.83266932,22.19692658,2.29833414,1.537982996,20.61588443,3.836317136,60.72440727
South East,Surrey,Spelthorne,38,32,493,563,52978,8,21,37,66,3205,56183,0.71727887,0.604024312,9.305749556,1.321303182,2.496099844,6.55226209,11.54446178,9.048361934,0.818753004,0.943345852,9.433458519,1.762098856,57.04572558
East of England,Hertfordshire,St Albans,124,62,960,1146,75508,15,27,81,123,2351,77859,1.642210097,0.821105048,12.71388462,2.463315145,6.380263718,11.48447469,34.45342407,17.86473841,1.785278516,1.143092,13.37032328,2.928370516,30.19561001
East of England,Suffolk,St. Edmundsbury,29,32,268,329,57386,12,18,31,61,2934,60320,0.505349737,0.557627296,4.670128603,1.062977033,4.08997955,6.134969325,10.5657805,10.22494888,0.679708223,0.828912467,4.956896552,1.50862069,48.64058355
North West,Merseyside Metropolitan Area,St. Helens,45,12,340,397,78117,4,13,19,36,4459,82576,0.576058988,0.15361573,4.35244569,0.729674719,0.897062122,2.915451895,4.261045077,3.812514017,0.593392753,0.302751405,4.347510172,0.896144158,53.99874055
West Midlands,Staffordshire,Stafford,51,34,463,548,67481,10,24,47,81,3444,70925,0.75576829,0.503845527,6.861190557,1.259613817,2.903600465,6.968641115,13.64692218,9.87224158,0.860063447,0.817765245,7.190694395,1.677828692,48.55833627
West Midlands,Staffordshire,Staffordshire Moorlands,43,22,263,328,52456,6,16,13,35,1814,54270,0.819734635,0.419399115,5.013725789,1.23913375,3.307607497,8.820286659,7.166482911,12.12789416,0.902892943,0.70020269,5.085682698,1.603095633,33.42546527
East of England,Hertfordshire,Stevenage,22,7,346,375,40034,5,11,16,32,1315,41349,0.549532897,0.174851376,8.642653744,0.724384273,3.802281369,8.365019011,12.16730038,12.16730038,0.652978307,0.435318871,8.754746185,1.088297178,31.80246197
Scotland,Stirling UA,Stirling UA,55,26,219,300,42343,32,210,279,521,13491,55834,1.298915996,0.614033016,5.172047328,1.912949012,2.371951671,15.56593284,20.68045364,17.93788452,1.55819035,4.226815202,8.919296486,5.785005552,241.6269656
North West,Manchester Metropolitan Area,Stockport,96,58,1286,1440,136622,24,35,96,155,7298,143920,0.702668677,0.424528992,9.412832487,1.127197669,3.288572212,4.795834475,13.15428885,8.084406687,0.833796554,0.646192329,9.602556976,1.479988883,50.70872707
North East,Stockton-on-Tees UA,Stockton-on-Tees UA,50,23,464,537,85464,14,29,64,107,3997,89461,0.585041655,0.269119161,5.429186558,0.854160816,3.50262697,7.255441581,16.01200901,10.75806855,0.715395535,0.581258873,5.902013168,1.296654408,44.6786868
West Midlands,Stoke-on-Trent UA,Stoke-on-Trent UA,48,23,534,605,99726,18,90,177,285,9316,109042,0.481318814,0.230631931,5.354671801,0.711950745,1.932159725,9.660798626,18.99957063,11.59295835,0.605271363,1.03629794,6.520423323,1.641569304,85.43497001
West Midlands,Warwickshire,Stratford-on-Avon,72,63,451,586,74446,33,33,75,141,6174,80620,0.96714397,0.846250974,6.058082368,1.813394944,5.344995141,5.344995141,12.14771623,10.68999028,1.302406351,1.190771521,6.524435624,2.493177871,76.58149343
South West,Gloucestershire,Stroud,73,35,346,454,67493,18,34,21,73,2404,69897,1.081593647,0.518572296,5.126457559,1.600165943,7.487520799,14.14309484,8.735440932,21.63061564,1.301915676,0.987166831,5.250583001,2.289082507,34.39346467
East of England,Suffolk,Suffolk Coastal,79,26,424,529,72486,6,19,24,49,3017,75503,1.089865629,0.358689954,5.849405402,1.448555583,1.988730527,6.297646669,7.954922108,8.286377196,1.125783081,0.596002808,5.933539065,1.721785889,39.95867714
North East,Tyne and Wear Metropolitan Area,Sunderland,189,30,376,595,103664,34,15,34,83,5584,109248,1.823198024,0.289396512,3.627102948,2.112594536,6.088825215,2.686246418,6.088825215,8.775071633,2.041227299,0.411906854,3.752929115,2.453134153,51.11306385
South East,Surrey,Surrey Heath,58,38,523,619,53109,8,33,19,60,1492,54601,1.092093619,0.715509612,9.847671769,1.807603231,5.361930295,22.11796247,12.73458445,27.47989276,1.20876907,1.300342485,9.926558122,2.509111555,27.32550686
London,Greater London,Sutton,51,61,1313,1425,84285,9,11,90,110,2776,87061,0.605089874,0.723734947,15.57809812,1.328824821,3.242074928,3.962536023,32.42074928,7.204610951,0.68917196,0.827006352,16.11513766,1.516178312,31.88568934
South East,Kent,Swale,37,21,390,448,69737,10,22,29,61,3079,72816,0.530564836,0.301131394,5.592440168,0.83169623,3.24780773,7.145177006,9.418642416,10.39298474,0.645462536,0.590529554,5.75422984,1.23599209,42.28466271
Wales,Swansea UA,Swansea UA,82,41,398,521,112036,38,104,94,236,12595,124631,0.731907601,0.365953801,3.552429576,1.097861402,3.017070266,8.257244938,7.463279079,11.2743152,0.962842311,1.163434459,3.947653473,2.126276769,101.0583242
South West,Swindon UA,Swindon UA,63,33,589,685,100764,275,2043,2450,4768,128697,229461,0.625223294,0.327497916,5.84534159,0.95272121,2.136801946,15.87449591,19.03696279,18.01129785,1.473017201,9.047289082,13.24408069,10.52030628,560.8665525
North West,Manchester Metropolitan Area,Tameside,41,18,558,617,90142,6,25,47,78,4905,95047,0.454837922,0.199684942,6.190233188,0.654522864,1.22324159,5.096839959,9.582059123,6.320081549,0.494492199,0.452407756,6.365271918,0.946899955,51.60604753
West Midlands,Staffordshire,Tamworth,21,12,152,185,35972,10,14,78,102,2386,38358,0.58378739,0.333592794,4.225508729,0.917380185,4.191114837,5.867560771,32.69069573,10.05867561,0.808175609,0.677824704,5.996141613,1.486000313,62.20345169
South East,Surrey,Tandridge,51,50,503,604,49052,2,25,27,54,1711,50763,1.039712958,1.019326429,10.25442388,2.059039387,1.168907072,14.6113384,15.78024547,15.78024547,1.044067529,1.477454051,10.44067529,2.521521581,33.70565175
South West,Somerset,Taunton Deane,51,26,320,397,59450,12,18,23,53,2577,62027,0.857863751,0.437342304,5.382674516,1.295206056,4.656577416,6.984866123,8.925106713,11.64144354,1.015686717,0.709368501,5.529849904,1.725055218,41.54642333
South West,Devon,Teignbridge,59,35,324,418,70527,4,21,23,48,2590,73117,0.836559048,0.496263842,4.593985282,1.332822891,1.544401544,8.108108108,8.88030888,9.652509653,0.861632726,0.765895756,4.745818346,1.627528482,35.42267872
West Midlands,Telford and Wrekin UA,Telford and Wrekin UA,60,32,372,464,79635,10,22,31,63,4437,84072,0.753437559,0.401833365,4.671312865,1.155270924,2.253775073,4.958305161,6.986702727,7.212080234,0.832619659,0.642306594,4.793510324,1.474926254,52.77619184
East of England,Essex,Tendring,45,30,312,387,70945,5,20,12,37,3199,74144,0.634294172,0.422862781,4.397772923,1.057156953,1.562988434,6.251953736,3.751172241,7.814942169,0.674363401,0.674363401,4.369874838,1.348726802,43.14577039
South East,Hampshire,Test Valley,52,38,432,522,70512,25,31,110,166,3812,74324,0.737463127,0.538915362,6.126616746,1.276378489,6.558237146,8.132214061,28.85624344,14.69045121,1.036004521,0.928367687,7.292395458,1.964372208,51.28895108
South West,Gloucestershire,Tewkesbury,41,24,315,380,49002,11,22,11,44,1971,50973,0.836700543,0.489775928,6.428309049,1.32647647,5.580923389,11.16184678,5.580923389,16.74277017,1.020147921,0.902438546,6.395542738,1.922586467,38.66752987
South East,Kent,Thanet,56,16,324,396,59796,13,10,22,45,2783,62579,0.936517493,0.267576427,5.418422637,1.204093919,4.67121811,3.5932447,7.90513834,8.26446281,1.102606306,0.41547484,5.52901133,1.518081145,44.47178766
Wales,The Vale of Glamorgan UA,The Vale of Glamorgan UA,58,30,435,523,62985,2,13,18,33,2613,65598,0.920854172,0.476303882,6.906406287,1.397158054,0.76540375,4.975124378,6.888633754,5.740528129,0.914662032,0.65550779,6.905698344,1.570169822,39.83353151
East of England,Hertfordshire,Three Rivers,75,41,687,803,49219,12,16,34,62,1778,50997,1.523801784,0.833011642,13.95802434,2.356813426,6.749156355,8.998875141,19.12260967,15.7480315,1.705982705,1.117712807,14.13808655,2.823695512,34.86479597
East of England,Thurrock UA,Thurrock UA,52,19,498,569,77786,8,15,26,49,3255,81041,0.668500758,0.244259893,6.402180341,0.912760651,2.457757296,4.608294931,7.987711214,7.066052227,0.740365988,0.419540726,6.465862958,1.159906714,40.16485483
South East,Kent,Tonbridge and Malling,71,50,541,662,67534,12,42,47,101,3693,71227,1.051322297,0.740367815,8.010779755,1.791690112,3.249390739,11.37286759,12.7267804,14.62225833,1.165288444,1.291645022,8.255296447,2.456933466,51.84831595
South West,Torbay UA,Torbay UA,37,22,409,468,62472,13,6,27,46,2979,65451,0.592265335,0.352157767,6.546933026,0.944423102,4.363880497,2.014098691,9.063444109,6.377979188,0.763930268,0.42780095,6.661471941,1.191731219,45.51496539
Wales,Torfaen UA,Torfaen UA,19,7,109,135,42685,5,8,34,47,2718,45403,0.445121237,0.163992035,2.553590254,0.609113272,1.839587932,2.943340692,12.50919794,4.782928624,0.528599432,0.330374645,3.149571614,0.858974077,59.86388565
South West,Devon,Torridge,19,32,158,209,35200,2,13,8,23,1681,36881,0.539772727,0.909090909,4.488636364,1.448863636,1.189767995,7.733491969,4.759071981,8.923259964,0.569398877,1.220140452,4.500962555,1.789539329,45.57902443
